smiles,D_smiles,A_smiles,D_HOMO,D_LUMO,A_HOMO,A_LUMO,D_A_H,D_A_L,initial,ground,change,overlap,distance,3d_overlap,3d_distance,3d_HOMO(a.u.),3d_LUMO(a.u.),3d_HOMO,3d_LUMO,HOMO,LUMO,AIE
C1=CC=C2C(=C1)C1=CC(N(C3=CC=CC=C3)C3=CC=CC=C3)=CC=C1S2(=O)=O,C1(NC2=CC=CC=C2)=CC=CC=C1,O=S1(C2=CC=CC=C2C3=CC=CC=C31)=O,-5.099687724,-0.141499259,-6.673050641,-1.823979874,1.573362917,1.682480615,460,472,12,0.513693114,4.049622,0.509076741,4.004245,-0.19341,-0.057332,-5.262956874,-1.560083985,-5.434660009,-1.67458931,0
N#C/C(C1=CC=NC=C1)=C\C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)\C6=CC=CC=C6)C=C3)C=C2,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,N#CCC1=CC=NC=C1,-5.328263451,-1.217982085,-7.197956883,-1.033760706,1.869693432,-0.184221379,515,558,43,0.383151338,8.791542,0.662183351,5.449185,-0.179165,-0.099155,-4.875330481,-2.698146367,-5.44889237,-2.451774351,1
C1(N2C(C3=CC=C(C=C3)/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=NC7=CC=CC=C27)=CC=CC=C1,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,C1(N2C=NC3=CC=CC=C23)=CC=CC=C1,-5.328263451,-1.217982085,-5.959295724,-0.693074256,0.631032273,-0.524907829,448,469,21,0.820055218,0.083315,0.874869559,0.09454,-0.168635,-0.077772,-4.588794439,-2.116285001,-5.259690733,-1.450367407,1
CC(C)(C)C(C=C1)=CC=C1N2C(C3=CC=C(C=C3)/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6)=NC7=CC=CC=C27,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,CC(C)(C1=CC=C(N2C=NC3=CC=CC=C23)C=C1)C,-5.328263451,-1.217982085,-5.867593319,-0.598378598,0.539329869,-0.619603487,454,481,27,0.821352652,0.195864,0.875556966,0.043275,-0.167964,-0.077151,-4.57053559,-2.099386721,-5.236561046,-1.42723772,1
CCCCN1C(C2=CC=C(C=C2)/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)=NC6=CC=CC=C16,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,CCCCN1C=NC2=CC=CC=C12,-5.328263451,-1.217982085,-5.881199017,-0.26041306,0.552935567,-0.957569025,440,463,23,0.818401268,0.527553,0.876113236,0.224331,-0.169443,-0.077184,-4.61078125,-2.100284698,-5.29180018,-1.449823179,1
CCCCCCN1C(C2=CC=C(C=C2)/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)=NC6=CC=CC=C16,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,CCCCCCN1C=NC2=CC=CC=C12,-5.328263451,-1.217982085,-5.873579827,-0.253065983,0.545316376,-0.964916102,446,472,26,0.815491405,0.768137,0.874176219,0.266581,-0.169864,-0.077584,-4.62223725,-2.111169258,-5.315746209,-1.476490347,1
CCCCN1C(=O)C2=C3C(=C/C=C/2)/C(C2=CC=C(C(=C(C4=CC=CC=C4)C4=CC=CC=C4)C4=CC=CC=C4)C=C2)=CC=C/3C1=O,C1(/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC=CC=C4)=CC=CC=C1,CCCCN1C(C2=C3C(C=CC=C3C1=O)=CC=C2)=O,-5.328263451,-1.217982085,-6.471142083,-2.399228785,1.142878632,1.1812467,488,507,19,0.333569263,7.758484,0.746259057,3.303484,-0.180248,-0.094819,-4.904800427,-2.580157737,-5.519287451,-2.346166563,1
C1(C=O)=CC=C(C2=CC=C(N(C3=CC=CC=C3)C3=CC=CC=C3)C=C2)C=C1,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,O=CC1=CC=CC=C1,-4.956011553,-0.323543498,-6.944348259,-1.72683519,1.988336706,1.403291692,467,492,25,0.439566427,6.608591,0.530232632,5.574292,-0.186961,-0.068453,-5.087470555,-1.862701964,-5.133539456,-1.780278634,0
C1(C(OC)=O)=CC=C(/C=C/C2=CC=C3C(=C2)SC2=CC=CC=C2N3CC)C=C1,CCN1C2=CC=CC=C2SC3=CC=CC=C31,COC(C1=CC=CC=C1)=O,-4.866213947,-0.417694929,-7.006118128,-1.193763943,2.139904181,0.776069014,517,544,27,0.56316103,5.406353,0.599336817,4.774134,-0.173635,-0.067611,-4.724851439,-1.839789965,-4.920120445,-1.77788403,0
C1(C=O)=CC=C(/C=C/C2=CC=C3C(=C2)SC2=CC=CC=C2N3CC)C=C1,CCN1C2=CC=CC=C2SC3=CC=CC=C31,O=CC1=CC=CC=C1,-4.866213947,-0.417694929,-6.944348259,-1.72683519,2.078134313,1.309140262,545,591,46,0.514396793,6.276996,0.575059389,5.270952,-0.176684,-0.074849,-4.807818998,-2.036746079,-5.001128783,-2.043222392,0
C1(C#N)=CC(C2=CC=C(N3C4=CC=CC=C4SC4=CC=CC=C34)C=C2)=CC(N2C3=CC=CC=C3C3=CC=CC=C23)=C1,C12=C(C=CC=C2)SC3=C(C=CC=C3)N1,N#CC1=CC=CC(N2C3=CC=CC=C3C4=CC=CC=C24)=C1,-4.68090434,-0.454702427,-5.666228989,-1.664521093,0.985324649,1.209818666,478,525,47,0.426573829,4.383006,0.531167234,5.159452,-0.191971,-0.05662,-5.223799669,-1.540709468,-5.443911884,-1.518123783,1
C1(C=O)=C(C2=CC=CC=C2)C=C(C2=CC=C(N(C3=CC=CC=C3)C3=CC=CC=C3)C=C2)S1,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,O=CC1=C(C=CS1)C2=CC=CC=C2,-4.956011553,-0.323543498,-6.473863222,-1.963302221,1.517851669,1.639758723,498,570,72,0.526153038,5.749062,0.53823507,5.653433,-0.183381,-0.059098,-4.990053743,-1.608139317,-5.165811417,-1.997860694,0
CC(C)(C)C1=CC2=C(C3=C(C=C(C=C43)C(C)(C)C)C=C2)C(C=C4C5=CC=C(F)C=C5)=C1,CC(C)(C1=CC2=C3C4=C(C=C2)C=C(C(C)(C)C)C=C4C=CC3=C1)C,FC1=CC=CC=C1,-5.215336157,-1.397849413,-6.630872977,-0.259868832,1.41553682,-1.137980581,401,451,50,0.89199392,0.054572,0.890714714,0.078626,-0.183755,-0.051721,-5.000230807,-1.407400819,-5.230901845,-1.487375124,0
CC(C)(C)C1=CC2=C(C3=C(C=C(C=C43)C(C)(C)C)C=C2)C(C=C4C5=CC=C(C#N)C=C5)=C1,CC(C)(C1=CC2=C3C4=C(C=C2)C=C(C(C)(C)C)C=C4C=CC3=C1)C,N#CC1=CC=CC=C1,-5.215336157,-1.397849413,-7.268163872,-1.424788695,2.052827714,0.026939282,412,461,49,0.811499071,1.739025,0.798616841,1.920687,-0.193964,-0.068152,-5.27803199,-1.854511333,-5.435531573,-1.791299251,1
CC(C)(C)C1=CC2=C(C3=C(C=C(C=C43)C(C)(C)C)C=C2)C(C=C4C5=CC=C(C=O)C=C5)=C1,CC(C)(C1=CC2=C3C4=C(C=C2)C=C(C(C)(C)C)C=C4C=CC3=C1)C,O=CC1=CC=CC=C1,-5.215336157,-1.397849413,-6.944348259,-1.72683519,1.729012102,0.328985778,423,461,38,0.604605164,4.371036,0.68795859,3.322883,-0.192267,-0.072285,-5.231854244,-1.966976049,-5.358931482,-1.867409536,1
CC(C)(C)C1=CC2=C(C3=C(C=C(C=C43)C(C)(C)C)C=C2)C(C=C4C5=CC=C(C(F)(F)F)C=C5)=C1,CC(C)(C1=CC2=C3C4=C(C=C2)C=C(C(C)(C)C)C=C4C=CC3=C1)C,FC(F)(F)C1=CC=CC=C1,-5.215336157,-1.397849413,-7.242857273,-0.741238427,2.027521116,-0.656610985,448,458,10,0.883710689,0.40833,0.872203085,0.705036,-0.189137,-0.058095,-5.146682562,-1.580846283,-5.341380129,-1.617037445,1
